Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-PCIe_1v2.PrjPcb|ReportField=ProjectFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-PCIe_1v2\FINAL_VERSION_DFM\LimeSDR-PCIe_1v2_DFMr1_LMS031pad\LimeSDR-PCIe_1v2.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-PCIe_1v2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~822|ReportField=ReportTime~15:36:02|ReportField=ReportDate~2017-02-01|ReportField=ReportDateTime~2017-02-01 15:36:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-02-01|ReportField=CurrentTime~15:34:43|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-PCIe_1v2\FINAL_VERSION_DFM\LimeSDR-PCIe_1v2_DFMr1_LMS031pad\Schematics\01_BlockDiagram.SchDoc|ReportField=DocumentName~01_BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2016-12-22|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-PCIe_1v2.PrjPcb|ReportField=Revision~v1.2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~16|ReportField=Time~|ReportField=Title~Block diagram|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.70:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=DataSourceFileName~LimeSDR-PCIe_1v2.PrjPcb|ReportField=DataSourceFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-PCIe_1v2\FINAL_VERSION_DFM\LimeSDR-PCIe_1v2_DFMr1_LMS031pad\LimeSDR-PCIe_1v2.PrjPcb
1||10pF, 5%||C1, C352, C353, C354|CAP0402|4||10pF, 5%|04023A100JAT2A|Farnell|2332478RL|AVX|10pF ±5% 25V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
2||1uF, 10V||C2, C3|CAP0402|2||1uF, 10V|GRM155R61A105KE15J|Newark|490-6298-2-ND|TDK|1µF ±10% 10V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
3||100nF, 10%||C4, C5, C7, C8, C23, C24, C26, C27, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C126, C132, C138, C144, C150, C156, C162, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C251, C252, C253, C254, C256, C257, C258, C259, C260, C261, C262, C263, C265, C266, C267, C268, C273, C274, C276, C277, C278, C279, C281, C282, C283, C284, C286, C287, C288, C289, C290, C291, C292, C293, C298, C299, C300, C302, C303, C304, C305, C306, C312, C313, C314, C318, C319, C325, C333, C336, C337, C343, C350, C351, C355, C356, C357, C359, C361, C363, C365, C376, C395, C396, MN5, MN8, MN33, MN36|CAP0402|185|GRM155R71C104KA88D|100nF, 10%|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4||100nF, 16V||C6, C25, C321, C329|CAP0402|4|GRM155R71C104KA88D|100nF, 16V|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
5||100pF, 50V||C9, C10, C13, C15, C16, C17, C18, C19, C28, C29, C32, C34, C35, C36, C37, C38, C322, C323, C330, C331|CAP0402|20||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
6|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, NF|47pF||C11, C12, C20, C21, C30, C31, C39, C40, C315, C316|CAP0402|10||47pF|C1005C0G1H470F050BA|Digi-Key|445-5361-1-ND|TDK Corporation|47pF ±1% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
7||470pF, 50V||C14, C22, C33, C41|CAP0402|4|C1005C0G1H471J050BA|470pF, 50V|C1005C0G1H471J050BA|Digi-Key|445-2656-6-ND|TDK Corporation|470pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
8||1uF, 20%||C42, C44, C46, C48, C50, C52, C54, C56, C58, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100|CAP0201|50||1uF, 20%|C0603X5R0J105M030BC|Digi-Key|445-8008-1-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
9||1nF, 10%||C43, C45, C47, C49, C51, C53, C55, C57, C59|CAP0201|9||1nF, 10%|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
10|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF|220uF, 4V||C120, C121, C122, C127, C128, C133, C134, C139, C145, C151, C275, C403, C404, C405|CAP1206|14|GRM31CR60G227ME11L|220uF, 4V|GRM31CR60G227ME11L|Digi-Key|490-9774-1-ND|Murata Electronics North America|220µF ±20% 4V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 1206 (3216 Metric) 0.126" L x 0.063" W (3.20mm x 1.60mm)
